taxonomy_name,dataset_name,num_mapped_classes,num_other_classes,num_classes
derave2019dpo_tx011.ttl,derave2019dpo,16,0,16
derave2019dpo_tx012.ttl,derave2019dpo,3,0,3
derave2019dpo_tx013.ttl,derave2019dpo,2,0,2
derave2019dpo_tx014.ttl,derave2019dpo,3,0,3
derave2019dpo_tx015.ttl,derave2019dpo,3,0,3
derave2019dpo_tx016.ttl,derave2019dpo,3,0,3
derave2019dpo_tx017.ttl,derave2019dpo,2,0,2
derave2019dpo_tx018.ttl,derave2019dpo,0,2,2
derave2019dpo_tx019.ttl,derave2019dpo,7,0,7
derave2019dpo_tx020.ttl,derave2019dpo,10,0,10
derave2019dpo_tx021.ttl,derave2019dpo,2,0,2
derave2019dpo_tx022.ttl,derave2019dpo,2,0,2
derave2019dpo_tx023.ttl,derave2019dpo,3,0,3
digitaldoctor2022_tx001.ttl,digitaldoctor2022,36,0,36
dpo2017_tx001.ttl,dpo2017,3,0,3
dpo2017_tx002.ttl,dpo2017,3,0,3
dpo2017_tx003.ttl,dpo2017,0,14,14
dpo2017_tx004.ttl,dpo2017,0,4,4
dpo2017_tx005.ttl,dpo2017,16,0,16
duarte2018osdef_tx001.ttl,duarte2018osdef,0,3,3
duarte2018osdef_tx002.ttl,duarte2018osdef,0,5,5
duarte2018osdef_tx003.ttl,duarte2018osdef,0,9,9
duarte2018osdef_tx004.ttl,duarte2018osdef,0,5,5
duarte2018osdef_tx005.ttl,duarte2018osdef,0,3,3
duarte2018osdef_tx006.ttl,duarte2018osdef,0,7,7
duarte2018reqon_tx001.ttl,duarte2018reqon,0,4,4
duarte2018reqon_tx002.ttl,duarte2018reqon,0,4,4
duarte2018reqon_tx003.ttl,duarte2018reqon,0,2,2
duarte2018reqon_tx004.ttl,duarte2018reqon,0,12,12
duarte2018reqon_tx005.ttl,duarte2018reqon,0,2,2
duarte2018reqon_tx006.ttl,duarte2018reqon,0,4,4
duarte2018reqon_tx007.ttl,duarte2018reqon,0,13,13
duarte2018reqon_tx008.ttl,duarte2018reqon,0,2,2
duarte2018reqon_tx009.ttl,duarte2018reqon,0,2,2
duarte2018reqon_tx010.ttl,duarte2018reqon,0,6,6
duarte2020jogabilidade_tx001.ttl,duarte2020jogabilidade,2,0,2
duarte2020jogabilidade_tx002.ttl,duarte2020jogabilidade,2,0,2
duarte2021ross_tx001.ttl,duarte2021ross,0,3,3
duarte2021ross_tx002.ttl,duarte2021ross,0,5,5
duarte2021ross_tx003.ttl,duarte2021ross,0,11,11
duarte2021ross_tx004.ttl,duarte2021ross,0,4,4
duarte2021ross_tx005.ttl,duarte2021ross,0,2,2
duarte2021ross_tx006.ttl,duarte2021ross,0,3,3
duarte2021ross_tx007.ttl,duarte2021ross,0,2,2
elghosh2020cargos_tx001.ttl,elghosh2020cargos,2,0,2
elghosh2020cargos_tx002.ttl,elghosh2020cargos,2,0,2
elikan2018brand-identity_tx001.ttl,elikan2018brand-identity,6,0,6
elikan2018brand-identity_tx002.ttl,elikan2018brand-identity,2,0,2
eu-rent-refactored2022_tx001.ttl,eu-rent-refactored2022,48,0,48
eu-rent-refactored2022_tx002.ttl,eu-rent-refactored2022,2,0,2
eu-rent-refactored2022_tx003.ttl,eu-rent-refactored2022,3,0,3
eu-rent-refactored2022_tx004.ttl,eu-rent-refactored2022,3,0,3
falduci2022non-consensual-pornography_tx001.ttl,falduci2022non-consensual-pornography,2,0,2
falduci2022non-consensual-pornography_tx002.ttl,falduci2022non-consensual-pornography,7,0,7
falduci2022non-consensual-pornography_tx003.ttl,falduci2022non-consensual-pornography,7,0,7
fernandez-cejas2022curie-o_tx001.ttl,fernandez-cejas2022curie-o,7,0,7
fernandez-cejas2022curie-o_tx002.ttl,fernandez-cejas2022curie-o,3,0,3
fernandez-cejas2022curie-o_tx003.ttl,fernandez-cejas2022curie-o,7,0,7
ferreira2015ontoemergeplan_tx001.ttl,ferreira2015ontoemergeplan,3,0,3
ferreira2015ontoemergeplan_tx002.ttl,ferreira2015ontoemergeplan,0,2,2
ferreira2015ontoemergeplan_tx003.ttl,ferreira2015ontoemergeplan,0,4,4
ferreira2015ontoemergeplan_tx004.ttl,ferreira2015ontoemergeplan,3,0,3
ferreira2015ontoemergeplan_tx005.ttl,ferreira2015ontoemergeplan,0,5,5
ferreira2015ontoemergeplan_tx006.ttl,ferreira2015ontoemergeplan,61,0,61
ferreira2015ontoemergeplan_tx007.ttl,ferreira2015ontoemergeplan,0,3,3
ferreira2015ontoemergeplan_tx008.ttl,ferreira2015ontoemergeplan,3,0,3
ferreira2015ontoemergeplan_tx009.ttl,ferreira2015ontoemergeplan,0,3,3
ferreira2015ontoemergeplan_tx010.ttl,ferreira2015ontoemergeplan,0,3,3
ferreira2015ontoemergeplan_tx011.ttl,ferreira2015ontoemergeplan,1,1,2
ferreira2015ontoemergeplan_tx012.ttl,ferreira2015ontoemergeplan,18,0,18
ferreira2015ontoemergeplan_tx013.ttl,ferreira2015ontoemergeplan,1,1,2
ferreira2015ontoemergeplan_tx014.ttl,ferreira2015ontoemergeplan,2,0,2
ferreira2015ontoemergeplan_tx015.ttl,ferreira2015ontoemergeplan,0,2,2
ferreira2015ontoemergeplan_tx016.ttl,ferreira2015ontoemergeplan,0,3,3
ferreira2015ontoemergeplan_tx017.ttl,ferreira2015ontoemergeplan,3,0,3
ferreira2015ontoemergeplan_tx018.ttl,ferreira2015ontoemergeplan,0,3,3
fischer2018ontorea_tx001.ttl,fischer2018ontorea,6,0,6
fischer2018ontorea_tx002.ttl,fischer2018ontorea,2,1,3
fischer2018ontorea_tx003.ttl,fischer2018ontorea,3,0,3
fonseca2022incorporating_tx001.ttl,fonseca2022incorporating,11,0,11
fonseca2022incorporating_tx002.ttl,fonseca2022incorporating,6,0,6
fonseca2022incorporating_tx003.ttl,fonseca2022incorporating,6,1,7
fonseca2022incorporating_tx004.ttl,fonseca2022incorporating,4,1,5
fonseca2022incorporating_tx005.ttl,fonseca2022incorporating,3,0,3
fonseca2022incorporating_tx006.ttl,fonseca2022incorporating,4,1,5
fonseca2022incorporating_tx007.ttl,fonseca2022incorporating,3,0,3
fraller2019abc_tx001.ttl,fraller2019abc,3,0,3
fraller2019abc_tx002.ttl,fraller2019abc,5,0,5
fraller2019abc_tx003.ttl,fraller2019abc,6,0,6
fraller2019abc_tx004.ttl,fraller2019abc,13,0,13
